
qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_You_met_{s1}_in_sing|당신은 {s1}와(과) 일대일로 싸워 승리했습니다.
qstr_This_warrior|이 전사
qstr_The_enemy_party_has_|적의 부대의 사기가 떨어졌습니다.
qstr_You_met_{s1}_in_singl|당신은 {s1}와(과) 일대일로 싸워 패배했습니다.
qstr_One_young_nobleman_v|한 젊은 귀족이 당신에게 자원입대합니다.
qstr_{reg5}_noblemen_volu|{reg5}명의 귀족이 당신에게 자원입대합니다.
qstr_They_laugh_at_you_be|그들은 비웃었습니다. 당신이 굶어죽기 일보직전이라고 생각하기 때문입니다. 당신이 좀더 중요한 인물이 되면 돌아오세요. (더 많은 명성이 필요합니다.)
qstr_Try_as_you_might_you_|시도는 할 수 있지만 반란을 막을 수 없었습니다.
qstr_positive|긍정적인
qstr_negative|부정적인
qstr_{s11}^^_The_current_|{s11}^^ 현재 요새방어는 {reg5}의 인원으로 구성되있습니다.^식량은 {reg6} 일분이 있습니다.
qstr_^^Additional_the_fol|^^부가적으로 따라오는 부대:^
qstr_{s12}_{s3}_with_{reg|{s12} {s3} 과 {reg1} 병사들.^
qstr_{playername}_^^I_alw|{playername}, ^^난 언제나 당신이 썩은 달걀과 같다고 생각했지, 나의 왕국에 가담한 이후로 말이지. ^당신은 정말로 나에게 대항할 셈인가? 드디어 가면을 벗어 던졌군, 넌 뱀 같은 놈이야! 난 더 이상 참을 수가 없군. ^당장은 그저 네놈을 이곳에서 내쫓기만 하겠다. 나는 군대에게 네놈과 싸우라 할 것이다, 유라시아의 모든 군주들에게 네놈에 대해 낱낱이 폭로 할 것이다. ^겁에 질려도 좋다 네놈은 치명적인 적을 가지게 된 것이니까! ^^{s9}.
qstr_{playername}^^_I_ve_|{playername},^^ {s9}로부터 편지를 받았다, 당신의 비열한 행위에 대해 말해주더군. 드러난 정황으로 보건데, {s9}는 마땅한 증거가 없다. 그러나 불행히도, {그/그녀}는 사실상 내 가족 중 하나와 다를 바 없지; 살아오는 동안, {그/그녀}가 누군가를 이유 없이 비난하는 것은 본적이 없다. {그/그녀}는 바뀐 적이 없어. ^다행스럽게도, 당신은 우리의 결속을 약화시키는 것에 실패한 것이지. 고로 당신의 서약을 거절한다 : 당신은 더 이상 우리와 연관될 수 없어. 당신이 우리를 편의대로 이용해왔다는 것을 잘 알고 있으니까... ^당신이 날 얼마나 바보 취급했는지에 관해 듣는 것은 참 안타까운 일인데, 그렇다고 자네와 싸우지는 않겠다, 우리 왕에 의해 죽거나 하지도 않을 것이야. 그.러.나. 야생의 쥐떼에게 뜯어 먹힌 사람 얘기를 들어본 적 있나, 언젠가 그곳에서 당신을 보게 될지도 모를 일이지! ^^{s10}
qstr_{s4}_and_it_is_the_c|{s4}가 당신의 왕국의 수도입니다
qstr_The_young_noble_pref|젋은 귀족들은 당신의 결투에 응하지 않고 도망가는 것을 택했습니다!
qstr_You_don_t_have_enough_g|당신은 충분한 금을 가지고 있지 않습니다. 일이 잘 안 풀리고 있는 것 같습니다!
qstr_of_a_fulminating_dis|중대한 질병
qstr_in_a_hunting_acciden|사냥 사건
qstr_of_the_pox|수두
qstr_of_an_indigestion|소화불량의
qstr_The_hare_runs_off_un|토끼는 무사히 도망 갔다.
qstr_You_have_caught_a_wi|야생 토끼를 잡으셨군요.
qstr_You_have_left_behind|당신은 좋은 음식을 남겼다.
qstr_The_peasant_decides_|그 농부는 당신의 부대에 입대하기로 결심합니다.
qstr_The_young_nobles_joi|젊은 귀족들이 당신의 부대에 참여합니다.
qstr_The_camp_followers_j|종군자가 당신의 부대에 참여합니다.
qstr_The_bards_join_your_|시인들이 당신의 파티에 합류한다.
qstr_compensation_was_pai|보상금이 지불되었습니다. 모든 사람들이 마땅히 받아야 할 것을 받았다.
qstr_Compensation_was_pai|보상금이 지불되었습니다. 모든 사람들이 마땅히 받아야 할 것을 받았다.
qstr_The_Nights_Watchmen_|나이트 워치 병종이 당신의 부대에 합류한다
qstr_You_send_a_raven_to_|당신은 까마귀를 보내서 그들을 장벽으로 다시 데려다 줄 수 있는데에 도움을 요청합니다.
qstr_The_farmer_takes_con|농부는 당신의 결정에 위안을 받습니다.
qstr_The_farmers_not_part|농부들은 특별히 기쁜 것은 아니지만 당신이 할 수 있는 모든 일을 다했다고 동의합니다.
qstr_The_farmer_takes_ins|농부가 당신의 결정에 모욕을 받고, 불만을 즉시 전합니다.
qstr_The_mushrooms_were_r|그 버섯은 정말로 맛있다!
qstr_Your_men_enjoy_eatin|당신의 부하들이 캠프에서 쉴 때 버섯을 먹습니다. 버섯이 맛있다고 합니다.
qstr_The_mushrooms_were_re|그 버섯은 정말로 끔찍했다. 당신은 속이 안좋아지고 설사를 하기 시작합니다. 힘과 민첩이 감소합니다.
qstr_Your_men_are_eating_|당신의 부하들이 캠프에서 쉴 때 버섯을 먹습니다. 그들은 속이 안좋다며 설사를 하고 있습니다. 당신의 부하들이 화가났습니다!
qstr_The_mushrooms_were_t|그 버섯은 정말로 끔찍했다. 당신은 속이 안좋아지고 설사도 하기 시작합니다. 힘과 민첩이 감소합니다.
qstr_The_Septons_wife_sho|당신은 셉톤의 부인과 즐거운 시간을 가졌다. 그의 남편이 돌아왔을 때, 당신은 들키지 않고 마굿간으로 도망갔습니다.
qstr_You_leave_with_your_|당신은 명예를 손상하지 않고 떠났습니다.
qstr_The_bandits_run_away|도적단이 달아났다.
qstr_You_kill_all_the_Sep|당신은 모든 셉톤을 죽입니다! '칠신교'은 이것에 대해 기뻐하지 않을 것이다.
qstr_You_later_receive_a_|당신은 나이트 워치의 마에스터에게서 감사를 표하는 까마귀를 받았다.
qstr_The_merchant_thanks_|상인은 당신에게 감사를 표하고 당신에게 보상을 건내준다.
qstr_Although_you_gained_|비록 당신은 보상을 얻었지만, 당신의 명성은 떨어졌다.
qstr_The_freeriders_join_|용병단이 당신의 부대에 참가한다.
qstr_The_man_s_eyes_look_|당신이 떠날 때 그 남자의 눈은 슬퍼 보인다.
qstr_Putting_a_smile_on_t|이 가난한 사람의 얼굴에 미소를 지으면 기분이 좋아집니다.
qstr_The_man_joins_your_r|그 남자가 당신의 계급에 합류합니다.
qstr_The_child_s_eyes_sad|그 아이의 눈은 당신이 길을 따라 가는 동안 슬프게 당신을 지켜본다.
qstr_The_Ironmen_join_you|강철 군도인들이 당신의 부대에 참여합니다.
qstr_The_Ironmen_carry_on|강철 군도인들은 그들의 길을 계속 갑니다.
qstr_After_a_few_hours_th|몇시간 후에 강철 군도인들은 약탈물을 가지고 돌아왔고, 족장의 머리를 가져왔다.
qstr_Your_troops_show_no_|당신의 부대는 강철 군도인들은 처형 할 때 아무런 반감을 표하지 않았습니다.
qstr_The_Begging_Brother_|탁발승은 당신의 착한 성품에 대한 말을 퍼뜨린다.
qstr_The_begging_brother_|탁발승들이 당신의 부대에 합류했다.
qstr_You_leave_his_headle|머리가 없는 시체를 길가에 떨어뜨려 놓고 가세요 하이 셉톤은 이 소식을 들을 것이다.
qstr_They_thank_you_and_y|그들은 당신에게 감사하고 당신은 당신의 길을 계속 가고 있습니다.
qstr_The_people_cannot_re|사람들은 저항할 수 없고 당신은 그들이 가지고 있는 돈을 소유할 수 있다.
qstr_The_screams_make_you|그 비명 소리에 머리카락이 곤두선다.
qstr_The_Red_Priests_bles|붉은 사제들은 당신의 길을 축복합니다.
qstr_The_man_is_already_d|그 남자는 이미 죽었습니다. 살이 타는 냄새가 공기를 오염시킵니다.
qstr_The_Septons_bless_you|셉톤은 당신의 길을 축복합니다.
qstr_Your_warriors_plunde|이상한 분노가 치밀어 올라, 당신은 셉트리를 약탈하고 모든 셉톤을 죽여버립니다. 피는 땅을 덮었고 탐욕스런 사람들의 눈빛만이 남았습니다.
qstr_Among_the_remains_of|시체들 중에는 검과 갑옷이 남아 있었습니다. 죽은 사람을 신경쓰지 않는다면 그것은 당신 것입니다.
qstr_Someday_perhaps_you_|언젠가 어쩌면 당신은 왕처럼 땅에 묻히는 영광을 누릴 수도 있습니다.
qstr_The_monks_words_will|그 수도사의 말은 당신의 이름에 명성을 더해 줄것입니다.
qstr_The_scholar_spreads_|그 학자는 당신의 적대적인 성향에 대해 이야기한다.
qstr_You_care_little_for_|여자만 괜찮다면 옷 따위는 중요하지 않다.
qstr_The_village_is_dis_p|마을은 불쾌감을 느끼고 천천히 당신의 적대적인 성격의 확산을 말합니다.
qstr_The_village_is_pleas|마을은 당신의 선행을 기뻐하고 또 천천히 소문을 퍼뜨리고 있습니다.
qstr_Though_not_honourabl|비록 명예롭지는 않지만, 당신은 당신의 비용으로 당신의 부하들이 웃게 하지 않는 것이 최선이라고 결정한다.
qstr_With_your_honour_int|당신의 명예가 온전하고 당신의 부하들이 기뻐하는 가운데서, 사기는 더욱 강화됩니다.
qstr_You_nod_to_your_body|당신이 경호원에게 고개를 끄덕이면 그들은 그 대위를 땅으로 끌어내고 그를 처형합니다.
qstr_These_animals_are_re|동물은 마을에 정말로 필요하다.
qstr_You_did_return_the_a|당신은 결국 동물을 되돌려주었다.
qstr_Though_not_honourable|동물들을 그 자리에서 먹어치웠다.
qstr_With_the_blood_from_|팔꿈치에 검에서 흐르는 피로 당신은 손쉬운 승리를 만끽할 것입니다.
qstr_They_pay_and_go_on_t|그들은 돈을 내고 이전보다 더 가난하게 길을 나선다.
qstr_Harassing_helpless_p|무력한 소작농들을 괴롭히는 것은 확실히 명예롭지 못하다.
qstr_They_depart_praising|그들은 당신의 이름을 찬양합니다.
qstr_It_turns_out_the_fam|그들은 라니스터 가문과 가족 관계에 있단 걸 알게 됐습니다. 그들은 분명히 기뻐하지 않을 것이다.
qstr_You_carry_on_your_pa|당신은 자신의 목구멍에서 피가 흘러 나오는 어린 아이를 지나가는 길을 계속 나아 간다.
qstr_The_family_are_thank|그 가족은 당신에게 감사하고 그들의 마지막 실버를 준다. 그들이 출발 할 때 그들은 '라니스터는 언제나 빚을 갚는다' 라고 당신에게 말한다.
qstr_They_depart_praising_|그들은 너의 이름을 칭찬하기 시작했다. 그들은 금을 거부하고 대신 '라니스터는 언제나 빚을 갚는다' 라고 주장합니다
qstr_You_welcome_the_easy|당신은 쉬운 승리를 환영합니다. 당신은 쿼호르의 것을 좋아하지 않았습니다.
qstr_They_pay_and_go_on_th|그들은 이전보다 더 가난하게 돈을 내고 길을 나선다.
qstr_The_situation_escala|상황이 악화되고 명예가 훼손됩니다.
qstr_Though_honourable_yo|훌륭하긴 하지만, 당신의 병사들은 행복하지 않습니다.
qstr_The_girl_is_pregnant|여자는 임신을 했고 촌장은 높은 보상금을 요구합니다. 나쁜 소문과 문제를 피하기 위하여 당신은 돈을 지불합니다.
qstr_Though_not_honourable_|당신은 그들의 얼마 없는 소지품을 얻습니다.
qstr_Thankful_the_family_|감사하며, 그 가족은 다른 사람들에게 당신의 친절을 전합니다.
qstr_The_Lord_of_Light_is|빛의 신께선 당신의 선물에 감사하고 있다.
qstr_The_faith_of_the_sev|'칠신교' 에서는 당신의 선물에 감사하고 있다.
qstr_Your_troops_are_not_|당신의 부대는 당신의 결정에 만족하지 않습니다.
qstr_Your_men_have_nothin|당신의 부대원이 먹을 식량이 없습니다!
qstr_Part_of_your_food_wa|당신의 식량의 일부가 상했습니다.
qstr_You_don_t_have_enough_st|당신은 충분한 돈이 없습니다. 얼마나 당황스럽습니까!
qstr_Your_men_think_that_|당신의 병력들은 당신을 강력한 지도자라고 생각하고 있습니다.
qstr_Your_men_think_that_y|당신의 부하들은 당신을 약해 빠진 지도자라고 생각합니다.
qstr_You_don_t_have_enough_silve|당신은 충분한 돈이 없습니다. 얼마나 당황스럽습니까!
qstr_While_your_messenger|당신의 전령이 약탈자들과 협상을 진행하는 동안, 우연히 당신의 병력의 분견대가 그들과 마주쳤고 이어서 전투가 벌어졌습니다. 당신의 병력들은 습격자들을 전멸시켰고, 이 문제를 해결하는 데 성공했지만, 그 대가로 많은 사상자를 내야 했습니다.^^부대 사상자 수: {s8}^^적의 사상자: {s10}
qstr_The_enemy_raiders_ac|약탈자들이 협상을 받아들였습니다. 그들은 돈을 받았고, 몇 주 동안 당신의 보급선을 공격하지 않겠다고 약속했습니다.
qstr_The_raiders_take_the|습격자들은 전령을 죽인 뒤 돈을 강탈해 돌아갔습니다. 또한 지속적으로 당신의 보급선을 공격할 것입니다.
qstr_You_don_t_have_enough_silver|당신은 가지고 있는 실버가 모자란다는 것을 깨달았고, 당신은 물을 배급하고 우물을 파 내도록 명령합니다.
qstr_the_enemy_thinks_rei|적의 병력이 곧 증원될 것입니다.
qstr_fear_and_discontent_|두려움과 불만이 내부에서 확산되고 있습니다.
qstr_he_likes_the_wife_of|그는 자신의 전 주인의 아내를 좋아하고 있고, 이 곳을 점령한 뒤 그에게 그녀를 준다면 그는 기꺼이 당신의 옆에서 같이 싸울 것입니다.
qstr_the_enemy_s_morale_i|적들의 사기가 낮은 상태이고, 우리가 공격할 절호의 기회입니다.
qstr_Compensation_was_paid|보상이 지불되었고 농부들은 행복하게 떠났습니다.
qstr_The_compensation_is_|보상을 지불하고 당신의 전사들을 채찍질합니다.
qstr_At_the_joy_of_your_m|당신의 부하들의 기쁨을 위해, 당신은 여자들을 당신의 부대에 참여하도록 설득을 합니다. 당신의 명성은 곧 퍼집니다.
qstr_Your_soldiers_don_t_|당신의 병사들은 이 일을 좋아하지 않아요. 정직한 지도자로서의 당신의 명성은 곧 퍼질 것이다.
qstr_The_mercenary_joins_|용병이 당신의 부대에 합류합니다.
qstr_The_mercenary_rides_|용병은 당신의 포위 진영을 지나갑니다.
qstr_Your_men_think_you_r|당신의 병력들은 당신이 피도 눈물도 없는 사람이라 생각하고, 당신을 두려워합니다.
qstr_You_feel_happy.|당신은 행복감을 느낍니다.
qstr_New_troops_have_join|새로운 병력이 당신의 부대에 합류했습니다. 그러나 일부 부하들은 동의하지 않습니다.
qstr_The_bandits_leave.|도적들은 떠났습니다.
qstr_Your_men_kill_all_th|당신의 병력이 도적들을 모두 죽였습니다.
qstr_At_night_some_of_you|한밤중에, 당신의 병력 중 일부가 매춘을 하러 갔습니다.
qstr_Your_enemies_appreci|당신의 적은 당신의 동정에 감사하고 있습니다. 이것은 아마 당신이 그들과 항복 협상을 진행할 때 당신에게 유리한 요소가 될 것입니다.
qstr_You_know_that_in_the|당신은 그 날이 되면 어린이와 여성, 노약자들이 굶주림으로 쇠약해져 당신의 눈 앞에서 죽어나갈 것이라는 것을 잘 알고 있습니다.
qstr_Your_officer_seems_u|당신의 장교는 화난 것처럼 보입니다.
qstr_Your_men_think_that_yo|당신의 부하들은 당신이 매우 강력한 지도자라고 생각합니다.
qstr_Your_officer_seems_h|당신의 장교는 행복한 것처럼 보입니다.
qstr_The_wife_is_pregnant|아내가 임신하고, 장교는 충분한 보상금을 요구했습니다. 당신은 소문이 퍼져 문제가 생기는 것을 방지하려면 대가를 지불해야만 할 것입니다.
qstr_Word_soon_spreads_of|당신의 폭정 소문이 곧 퍼집니다.
qstr_You_like_to_keep_a_t|당신은 단단한 배를 유지하기를 원하며 곧 사람들은 이 소식을 듣게 될 것입니다.
qstr_Word_soon_spreads_of_|당신의 폭군적인 지도력에 대한 소문이 곧 퍼집니다.
qstr_You_have_earn_t_resp|부하들로부터 존경을받지 못했습니다.
qstr_Some_of_your_food_su|당신의 식량 중 일부를 나누어줍니다.
qstr_Your_men_now_have_no|당신의 부대원이 먹을 식량이 없습니다!
qstr_The_boy_joins_your_b|그 소년은 당신의 경호원들과 함께 당신의 부하들에 대한 불만을 많이 털어 놓습니다.
qstr_The_lord_is_certainl|경은 당신의 거절에 불쾌감을 느낍니다.
qstr_You_ve_gained_+1_int|지능이 1 증가 했습니다.
qstr_You_ve_gained_15_one|한손 무기 능력이 15 증가 했습니다.
qstr_You_ve_gained_15_one_|한손 무기 능력이 15 와 지능이 1 증가 했습니다.
qstr_Your_patrol_finds_50|당신의 순찰대는 500실버를 찾기 위해 생존자를 죽인다.
qstr_Your_patrol_bring_ba|당신의 순찰대는 4 명의 리스의 궁병를 데려 와서 당신의 수련에 참여하게되어 기뻐합니다.
qstr_Word_soon_spreads_of_y|곧 당신의 불명예스러움이 곧 퍼집니다.
qstr_Word_soon_spreads_of_yo|당신의 폭군적인 성격이 곧 퍼집니다.
qstr_The_poor_fellows_are|펠로우스들은 곧 침략자들에게 붙잡혀서 모두 살해당했다.
qstr_The_poor_fellows_hav|가난한 동료들이 당신의 부대에 합류했습니다. 당신은 그들이 불필요하게 죽지 않을 것이라는 것을 잘 알고 있습니다.
qstr_You_run_the_raiders_|침입자들을 추적해서 그들 모두를 학살하도록 해라.
qstr_The_pit_fighter_join|구덩이 싸움꾼이 당신의 부대에 합류합니다. 이것은 에소스의 주인들에게는 그리 잘 된 일이 아닐 것입니다.
qstr_The_man_will_surely_|그 남자는 이제 틀림없이 사형에 처해질 것이다. 하지만 마에스터가 당신의 수고에 대한 보상을 해 줄 거야.
qstr_Your_soldiers_will_s|당신의 병사들은 분명히 이 실수를 기억할 것입니다.
qstr_Word_soon_spreads_of_you|당신의 폭정에 대한 소문이 곧 퍼집니다.
qstr_Word_soon_spreads_of_your|당신의 선행이 곧 퍼집니다.
qstr_Word_soon_spreads_of_your_|당신의 선행이 곧 퍼집니다. 사람들이 틀림없이 당신의 지배하에 있기 위해 몰려갈 것입니다.
qstr_Temporary_quarters_a|은신처는 포로를 가둬두기에 좋은 장소가 아닙니다. {reg1}명의 포로가 탈주했습니다.
qstr_One_lord_can_disemba|한 명의 영주가 당신과 함께 배에서 내릴 수 없습니다.
qstr_{reg1}_lords_can_dis|{reg1}명의 영주들은 당신과 함께 배에서 내릴 수 없습니다.
qstr_One_lord_will_lose_t|한 명의 영주가 당신을 따라오는 데 실패했습니다. 그들은 다음 항구에서 하선한 다음 당신을 찾아와야 합니다.
qstr_{reg1}_lords_will_lo|{reg1}명의 영주들은 당신을 따라오는 데 실패했습니다. 그들은 다음 항구에서 하선한 다음 당신을 찾아와야 합니다.
qstr_One_lord_can_embark_|한 명의 영주가 당신과 함께 배에 탈 수 있습니다.
qstr_{reg1}_lords_can_emb|{reg1}명의 영주들은 당신과 함께 배에 탈 수 있습니다.
qstr_One_lord_will_lose_tr|한 명의 영주가 당신을 따라오는 데 실패했습니다. 그들은 다음 항구에서 승선한 다음 당신을 찾아와야 합니다.
qstr_{reg1}_lords_will_los|{reg1}명의 영주들은 당신을 따라오는 데 실패했습니다. 그들은 다음 항구에서 승선한 다음 당신을 찾아와야 합니다.
qstr_{s10}Current_fleet:^|{s10}현재 함대:^{s0}^^
qstr_{s10}Port_of_{s9}:^{|{s10}{s9} 항구:^{s0}^^
qstr_{s10}Landed_ships_nex|{s10}{s9} 근처에 배를 상륙:^{s0}^^
qstr_You_gain_+1_Renown.|당신은 +1의 명성을 얻습니다.
qstr_You_must_make_sure_t|반드시 찾아낸 편지가 스타니스 바라테온 왕 앞으로 가도록 하십시오.
qstr_You_have_decided_to_|당신은 타이윈 라니스터 경에게 편지의 소식을 전하기로 결정했습니다.
qstr_King_Robb_Stark|'북부의 왕' 롭 스타크
qstr_Ser_Walder_Frey_and_|왈더 프레이 공과 그의 영주들은 웨스터랜드에 합류했습니다.
qstr_All_hail_His_Grace_{|당신은 성공적으로 철왕좌를 차지 하였습니다, 안달족과 로인족, 그리고 초대인들의 왕이자 칠왕국의 군주이며 왕국의 수호자 {playername}.^모든 사람들은 그의 은총을 빕니다.
qstr_All_hail_Her_Grace_{|당신은 성공적으로 철왕좌를 차지 하였습니다, 안달족과 로인족, 그리고 초대인들의 왕이자 칠왕국의 군주이며 왕국의 수호자 {playername}.^모든 사람들은 그녀의 은총을 빕니다.
qstr_The_dire_wolf_has_jo|다이어 울프가 당신에게 합류했습니다.
qstr_Static_wars_have_now|전쟁은 이제 중지되었습니다.
qstr_You_missed_the_deadl|브라보스의 강철 은행에 채무를 갚을 시간을 놓쳤습니다. 그들은 이제 50 % 로 이자가 늘어납니다.
qstr_Your_debt_to_the_Iro|강철 은행에 대한 귀하의 부채는 이제 100,000,000 실버에 도달했습니다. 강철 은행은 당신이 지불 할 금액을 기억할 것입니다.
qstr_{s33}_was_beaten_up_|{s33}은(는) 성난 군중들에 의해 {s34}의 지하 감옥에 던져졌습니다.
qstr_{s33}_s_attempts_to_|{s34}의 사람들에게 영향을 미치려던 {s33}의 시도가 실패했습니다.
qstr_The_people_of_{s34}_|{s34}의 사람들은 당신이 싫어하는 {s33}이(가) 들어오려는 것을 막았습니다.
qstr_Breaking_camp...|야영지를 파괴합니다...
qstr_AMBUSH_CANCELLED_DON|매복이 취소됩니다, 매복 중에는 이동명령을 내리지 마세요.
qstr_Your_troops_enjoy_th|당신과 부관들 덕분에 병사들은 즐거워하고 있습니다. (예능 성공) 
qstr_Your_troops_would_be|당신의 병사들이 오락거리를 가지고 있다면 그들은 더 행복해질 것이다.
qstr_1|1
qstr_You_gain_{reg0}_silv|당신은 구걸로 {reg0} 실버를 받았다. 그리고 {s2} 평판과 {s3} 명성을 잃었다.
qstr_You_have_very_bad_fe|이 매복은 아주 안좋은 느낌이 든다...
qstr_You_have_bad_feeling|이 매복은 안좋은 느낌이 든다...
qstr_You_have_good_feelin|이 매복은 좋은 느낌이 든다!
qstr_You_have_very_good_f|이 매복은 아주 좋은 느낌이 든다!
qstr_You_keep_working_har|당신은 마을을 위해 열심히 일하는 중입니다...
qstr_Your_strenuous_villa|당신의 중노동은 끝을 보았습니다.
qstr_Looting_and_burying_|전리품을 획득하고 시신을 화장.
qstr_Burying_the_dead.|시신 화장만.
qstr_Looting_the_dead.|전리품만 획득.
qstr__Your_contract_with_| {s1}와의 계약이 만료되었습니다.
qstr_Your_spy_in_{s5}_has|{s5}에 있는 당신의 스파이는 우물에 독을 타는 임무에 성공했습니다.
qstr_Rats_have_infested_t|{s5}에 쥐떼가 들이닥쳤습니다.
qstr_A_pox_has_inflicted_|{s5}에 가축 수두가 창궐하였습니다.
qstr_Civil_unrest_in_{s5}|{s5} 사람들이 불만이 가득해서 경제활동에 지장이 있습니다.
qstr_Farmers_in_{s5}_are_|{s5} 농노들이 폭동을 일으켰습니다.
qstr_You_receive_a_messag|{s1} 까다로운 땅에서 그들에게 적합한 스타일로 그들을 지지 할 메시지를 받습니다.
qstr_You_receive_a_message|{s1}로부터 당신의 신하에게 제공해야 할 의무를 상기시키는 메시지를받습니다.
qstr_A_livestock_epidemic|가축 전염병으로 {s4}의 가축 {reg4} 마리가 죽었습니다.
qstr_{reg0}_of_your_prison|금광에서 {reg0} 의 죄수가 탈옥했습니다!
qstr_{reg0}_of_your_prisone|죄수 {reg0} 명이 철광에서 탈옥했습니다!
qstr_Your_party_has_been_|당신의 부대는 {s1} 근처를 지나고 있습니다.
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1}가 {reg2} 어둠을 틈타 부대의 감시망을 뚫고 도주에 성공했습니다.
qstr_{s1}_of_{s3}_has_bee|{s3}의 {s1}가 감금 상태에서 풀려났습니다.
qstr_Building_of_{s0}_in_|{s4}에 있는 {s0}의 건설이 완료되었습니다.
qstr_{s1}_is_no_longer_in|{s1}은(는) 더 이상 강도들에게 침입을 당하고 있지 않습니다 (밤에).
qstr_{s1}_has_won_the_tou|{s1}는 {s2}에서의 토너먼트에서 승리하였습니다.
qstr_You_are_within_the_w|세력에 속해있는 만큼, 이곳 안에 있는 한 돈을 낼 필요는 없습니다.
qstr_You_pay_for_accommod|숙박비를 지불합니다.
qstr_Betrothal_to_{s5}_ex|{s5}와(과) 파혼했습니다.
qstr_Your_tactics_skill_h| 당신의 전술 기술이 1만큼 올랐습니다.
qstr_Your_persuasion_skil| 당신의 설득력 기술이 1만큼 올랐습니다.
qstr_Your_leadership_skil| 당신의 지휘력 기술이 1만큼 올랐습니다.
qstr_Your_intelligence_ha| 당신의 지능 능력치가 1만큼 올랐습니다.
qstr_Your_trade_skill_has| 당신의 상술 기술이 1만큼 올랐습니다.
qstr_Your_weapon_master_s| 당신의 무기의 달인 기술이 1만큼 올랐습니다.
qstr_Your_engineer_skill_| 당신의 기계학 기술이 1만큼 올랐습니다.
qstr_You_have_finished_re|책 읽기 완료.
qstr_Book_Read|책 읽기
qstr_{s1}_is_scouted.|{s1}을 정찰하였다.
qstr_{s1}_has_switched_fr|{s1}은(는) {s2}에서 {s3}(으)로 국가를 바꿨습니다.
qstr_Allowing_the_wives_o|병사들의 아내가 당신의 부대에서 여행 할 수 있게 한 것은 당신의 부하들의 사기에 영향을 미쳤습니다.
qstr_By_now_you_have_more|지금 당신은 한 척보다 많은 함선을 가지고 있습니다, 전투에서 당신은 9번 선박 그룹을 이용해 선박을 자리에서 대기하거나, 돌격하도록 명령할 수 있습니다. 부대 목록에서 윗줄에 가까운 부대는 당신의 기함에 함께 할 것입니다. 당신은 항구나 바다에서 야영하는 동안 기함을 변경할 수 있으며, 당신이 해안 근처에 있다면 바다에서 야영하는 동안 함대를 분할하거나, 부대에 오른쪽 클릭을 함으로서 가까운 상륙 지점을 찾으려 시도할 수 있습니다.
qstr_Ship_management|함선 관리
qstr_Your_troops_dislike_|당신의 부대는 바다에서 밤을 보내는 것을 싫어하지만, 그들의 지도자가 강철 군도인이라는 사실에 위안을받습니다.
qstr_Your_troops_are_angr|당신의 부대는 바다에서 밤을 보내는 것을 싫어하기 때문에, 화가 나 있습니다.
qstr_Your_troops_feel_une|당신의 부대는 바다를 건너는 것에 불안해하고 있지만, 그들의 지도자가 강철 군도인이라는 사실에 위안을받습니다.
qstr_Your_troops_feel_unea|당신의 부대는 바다를 건너는 것에 불안해하고 있습니다.
qstr_Severe_weather_has_d|악천후로 인해 {s1} ({s7}) (이)가 선체에 손상을 입었습니다.
qstr_Severe_weather_has_de|악천후로 인해 {s1} ({s7}) (이)가 선체에 손상을 입고 침몰했습니다.
qstr_The_weather_changed_|현재 기상 상황: '바람 없음'
qstr_The_weather_changed_t|현재 기상 상황: '약한 산들바람'
qstr_The_weather_changed_to|현재 기상 상황: '중간 정도의 산들바람'
qstr_The_weather_changed_to:|현재 기상 상황: '강한 산들바람'
qstr_The_weather_changed_to:_|현재 기상 상황: '강한 바람'
qstr_The_weather_changed_to:__|현재 기상 상황: '강풍'
qstr_The_weather_changed_to:__S|현재 기상 상황: '폭풍'
qstr_You_are_not_strong_e|당신의 승진에 필요한 무기를 다룰 힘이 충분하지 않습니다!
qstr_You_are_not_strong_en|당신의 승진에 필요한 갑옷을 입을 힘이 충분하지 않습니다!
qstr_Your_arms_are_too_we|지금은 힘이 부족하여 더 나은 원거리 무기를 사용할 수 없습니다.
qstr_You_require_more_hor|당신은 승진에 필요한 말을 다룰 승마술 기술이 충분하지 않습니다!
qstr_Your_recruiter_who_wa|당신의 징집관은 {s13}로 {reg10}의 병사를 모으려던 도중 공격당하여 임무에 실패하였습니다.
qstr_{s13}_has_been_taken|{s13}는 적에게 분열되었으며,신병중 {reg10}명이 흔적도 없이 사라졌습니다.
qstr_ERROR_IN_THE_RECRUIT|ERROR IN THE RECRUITER KIT SIMPLE TRIGGERS!
qstr_A_recruiter_has_brou|징집관이 {reg10}을(를) {s13}로 징집 하였습니다.
qstr_Distance_between_{s1|{s14} 와 {s15}의 거리: {reg0}
qstr_Your_caravan_has_bro|당신의 상단이 {s13}에서 {s12}쪽으로 이동합니다.
qstr_{s13}_is_unimpressed|{s13} 은 당신의 시시한 선물에 그닥 감동받지 않은듯 합니다.
qstr_The_people_of_{s13}_|{s13} 의 사람들은 당신의 시시한 선물에 그닥 감동받지 않은듯 합니다.
qstr_Your_caravan_has_los|당신은 상단을 잃어, 임무에 실패 하였습니다.
qstr_Transfer_to_{s6}|{s6}으(로) 전달
qstr_{s6}_patrol|{s6} 순찰
qstr_Your_messenger_reach|당신의 전령이 {s13}에 도착하였습니다.
