
|"undefined"
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_has_only_just_begun_|"{s12} {s3}의 {s4}에서 연회가 진행중이며, 연회는 이제 막 시작 했습니다. "
str_not_at_this_time_no|"지금은 아니군요, 아닙니다."
str_s12the_great_lords_bring_their_daughters_and_sisters_to_these_occasions_to_see_and_be_seen_so_they_represent_an_excellent_opportunity_to_make_a_ladys_acquaintance|"{s12}The great lords bring their daughters and sisters to these occasions to see and be seen, so they represent an excellent opportunity to make a lady's acquaintance."
str_you_will_not_be_disappointed_sirmadam_you_will_not_find_better_warriors_in_all_perisno|"You will not be disappointed {reg33?madam:sir}. You will not find better warriors in all Perisno."
str_your_excellency|"각하"
str_s10_and_s11|"{s10} 그리고 {s11}"
str_your_loyal_subjects|"당신의 충실한 신하"
str_loyal_subjects_of_s10|"{s10}의 충실한 신하"
str_the|"그"
str_we|"우리"
str_track_down_s7_and_defeat_him_defusing_calls_for_war_within_the_s11|"{s7}을(를) 추적하고 {s11}내에서 전쟁에 대한 요청을 철회시킵니다."
str_track_down_the_s9_who_attacked_travellers_near_s8_then_report_back_to_the_town|"{s8}인근의 여행자를 공격한 {s9}을(를) 추적하고 마을로 돌아와 보고해 주십시오."
str_do_you_wish_to_award_it_to_one_of_your_vassals|"당신의 가신 중 한명에게 상을 내리시겠습니까?"
str_who_do_you_wish_to_give_it_to|"누구에게 주고 싶습니까?"
str_sire_my_lady_we_have_taken_s1_s2|"{경/아가씨}, 저희는 {s1}을(를) 가졌습니다. {s2}"
str_s12i_want_to_have_s1_for_myself|"{s12}나 자신을 위해 {s1}을(를) 갖고 싶군요. {s2}"
str_fiefs_s0|"(영토: {s0})"
str_production_setting_buy_from_market|"저희는 시장에서 원자재를 구매하고 있습니다."
str_production_setting_buy_from_inventory|"저희는 창고에 있는 원자재만 사용할 수 있습니다."
str_production_setting_produce_to_inventory|"저희의 생산품은 창고에 넣고 있습니다."
str_production_setting_produce_to_market|"우리는 생산품을 재고에서 바로 판매하고 있습니다."
str_feast_quest_expired|"당신은 연회를 계획대로 열지 못했습니다. 아마도, 중요한 왕국의 군사작전이 다른 행사를 방해한것 같습니다. 만약 당신이 원하신다면 다시 연회를 개최하실 수 있습니다."
str_whereabouts_unknown|"어디있는지 모름"
str_mulberry_groves|"뽕나무 숲"
str_olive_groves|"올리브 나무 밭"
str_acres_flax|"아마밭"
str_enterprise_enemy_realm|"{reg33?부인:경}, 당신은 우리 왕국의 적이라네. 우리는 당신이 이곳에 땅을 사는 것을 허락할 수 없군."
str_you_intend_to_denounce_s14_to_s13_on_behalf_of_s12|"당신은 {s12}을(를) 대신하여 {s13}에게 {s14}을(를) 비난하려 합니다."
str_you_intend_to_denounce_s14_to_his_face_on_behalf_of_s14|"당신은 {s12}을(를) 대신하여 {s14}을(를) 공개적으로 비난하려 합니다."
str_you_intend_to_bring_gift_for_s14|"당신은 벨벳과 모피를 {s12}에게 가져오려고 합니다. 그런 다음 {s14}하고 이야기하여 {s12}하고 화해할 수 있었는지 확인할겁니다."
str_we_will_gather_the_army_but_not_ride_until_we_have_an_objective|"우리는 군대를 모을 것이오. 그러나 우리의 목표가 정해질 때까지 진군할 수는 없소."
str_we_shall_lay_siege_to_an_easy_fortress_to_capture|"우리는 가장 취약한 요새에 힘을 집중시키고 있소."
str_we_shall_strike_at_the_heart_of_our_foe_and_seize_the_fortress_of_s14|"우리는 그들에게 큰 피해를 줄 수 있는 공격을 계획하고 있소."
str_we_shall_take_the_fortress_of_s14_which_appears_easily_defensible|"우리는 방어하기 쉬운 요새를 취하는 것을 목표로 하고 있소."
str_we_shall_cut_a_fiery_trail_through_their_richest_lands_to_draw_them_out_to_battle|"우리는 적이 전장으로 나올 떄까지 주변의 비옥한 토지를 약탈할 것이오."
str_strategy_criticism_rash|"나는 이 전략이 무모하다고 생각하며, 우리를 불필요한 위험에 몰아넣을 것 같소."
str_strategy_criticism_cautious|"내 생각에 그 작전은 지나치게 신중해서, 아군은 그 어떤 성취도 없이 지루함에 녹아버릴 것이오."
str_tavernkeeper_invalid_quest|"어떤 일은 계속되고 있지만, 세부 사항을 기억하는데 어려움을 겪고 있소."
str_faction_title_male_player|"영주 {s0}"
str_faction_title_male_1|"백작 {s0}"
str_faction_title_male_2|"남작 {s0}"
str_faction_title_male_3|"아미르 {s0}"
str_faction_title_male_4|"영주 {s0}"
str_faction_title_male_5|"대공 {s0}"
str_faction_title_male_6|"하콘 {s0}"
str_faction_title_male_8|"얼 {s0}"
str_faction_title_male_9|"아슬링 {s0}"
str_faction_title_male_10|"디그림스트 {s0}"
str_faction_title_male_11|"아치두크 {s0}"
str_faction_title_male_12|"크냐지 {s0}"
str_faction_title_male_13|"아타벡 {s0}"
str_faction_title_male_14|"오푸그 {s0}"
str_faction_title_male_15|"족장 {s0}"
str_faction_title_male_16|"추장 {s0}"
str_faction_title_male_zann_dynasty|"장군 {s0}"
str_faction_title_young_male_player|"영주 {s0}"
str_faction_title_young_male_1|"자작 {s0}"
str_faction_title_young_male_2|"백작 {s0}"
str_faction_title_young_male_3|"사입 {s0}"
str_faction_title_young_male_4|"영주 {s0}"
str_faction_title_young_male_5|"공작 {s0}"
str_faction_title_young_male_6|"하콘 {s0}"
str_faction_title_young_male_8|"종사 {s0}"
str_faction_title_young_male_9|"아슬링 {s0}"
str_faction_title_young_male_10|"디그림스트 {s0}"
str_faction_title_young_male_11|"두크 {s0}"
str_faction_title_young_male_12|"보야르 {s0}"
str_faction_title_young_male_13|"베이 {s0}"
str_faction_title_young_male_14|"오푸그 {s0}"
str_faction_title_young_male_15|"족장 {s0}"
str_faction_title_young_male_16|"라투 {s0}"
str_faction_title_young_male_zann_dynasty|"장군 {s0}"
str_faction_title_female_player|"숙녀 {s0}"
str_faction_title_female_1|"여백작 {s0}"
str_faction_title_female_2|"여남작 {s0}"
str_faction_title_female_3|"아미라 {s0}"
str_faction_title_female_4|"그레빈네 {s0}"
str_faction_title_female_5|"여공작 {s0}"
str_faction_title_female_6|"사에다 {s0}"
str_faction_title_female_8|"숙녀 {s0}"
str_faction_title_female_9|"에셀 {s0}"
str_faction_title_female_10|"다마 {s0}"
str_faction_title_female_11|"두에치스 {s0}"
str_faction_title_female_12|"크냐즈나 {s0}"
str_faction_title_female_13|"카툰 {s0}"
str_faction_title_female_14|"여족장 {s0}"
str_faction_title_female_15|"여족장 {s0}"
str_faction_title_female_16|"여족장 {s0}"
str_faction_title_female_zann_dynasty|"오죠 {s0}"
str_faction_title_young_female_player|"숙녀 {s0}"
str_faction_title_young_female_1|"여자작 {s0}"
str_faction_title_young_female_2|"그래핀 {s0}"
str_faction_title_young_female_3|"비비 {s0}"
str_faction_title_young_female_4|"그레빈네 {s0}"
str_faction_title_young_female_5|"여공작 {s0}"
str_faction_title_young_female_6|"사에다 {s0}"
str_faction_title_young_female_8|"숙녀 {s0}"
str_faction_title_young_female_9|"에셀 {s0}"
str_faction_title_young_female_10|"다마 {s0}"
str_faction_title_young_female_11|"두에치스 {s0}"
str_faction_title_young_female_12|"보야리나 {s0}"
str_faction_title_young_female_13|"카눔 {s0}"
str_faction_title_young_female_14|"여족장 {s0}"
str_faction_title_young_female_15|"여족장 {s0}"
str_faction_title_young_female_16|"여족장 {s0}"
str_faction_title_young_female_zann_dynasty|"{s0} 히메"
str_name_kingdom_text|"당신의 왕국 이름은 무엇입니까?"
str_default_kingdom_name|"{s0}의 페리스노 왕국"
str_custom_lords_name_template|"{s3} {s0}"
str_lord_defects_ordinary|"영주 이탈^^{s1}은(는) {s3}에 대한 {reg4?그녀:그}의 충성을 포기하고, {s2}에 합류했습니다."
str_lord_defects_player|"영주 이탈^^{s1}은(는) {s3}에 대한 {reg4?그녀:그}의 충성을 포기했습니다. 그는 잠정적으로 당신의 왕국에 합류했습니다. 원하는 경우 충성 서약을 받기 위해 궁정에 갈 수도 있습니다."
str_lord_defects_player_faction|"영주 이탈^^{s1}은(는) {s3}에 대한 {reg4?그녀:그}의 충성을 포기했습니다. 그는 잠정적으로 당신의 왕국에 합류했습니다. 원하는 경우 충성 서약을 받기 위해 궁정에 갈 수도 있습니다."
str_lord_indicted_player_faction|"By order of {s6}, {s4} of the {s5} has been indicted for treason. The lord has been stripped of all {reg4?her:his} properties, and has fled for {reg4?her:his} life. {reg4?She:He} wishes to join your kingdom. You may find {reg4?her:him} in your court to receive {reg?her:his} allegiance, if you wish it."
str_lord_indicted_dialog_approach|"Greetings, my {reg33?lady:lord}. You may have heard of my ill treatment at the hands of {s10}. You have a reputation as one who treats {his/her} vassals well, and if you will have me, I would be honored to pledge myself as your vassal."
str_lord_indicted_dialog_approach_yes|"그리고 당신의 서약을 수락하게되어 영광입니다."
str_lord_indicted_dialog_approach_no|"미안하군요. 당신의 도움은 필요 없습니다."
str_lord_indicted_dialog_rejected|"정말입니까? 음, 아마도 당신의 명성은 잘못 전해진 모양이구려. 좋은 하루 되시길 {reg33?아가씨:경} -- 다른 지방에 있는 통치자가 내 재능을 알아보는지 봅시다."
str__has_been_worried_about_bandits_establishing_a_hideout_near_his_home|"{reg4?그녀:그}의 지역에서 은신처를 만든 도적떼에 대해 걱정하고 있다,"
str_bandit_lair_quest_description|"{s9}을(를) 찾아서 파괴하고, {s11}에게 다시 보고하십시오."
str_bandit_hideout_preattack|"당신은 은거지에 다가갔다. {s4}들은 아직 당신을 발견하지 못한 것 같았고, 당신은 계속 들키지 않고 숨어들어갈 수 있었다. 접근하기 어려운 장소-- {s5} --는 당신의 부대에서 소수의 병사들만이 공격에 가담할 수 있음과, 그들의 말을 데려갈 수 없음을 의미했다. 만약 당신의 첫 공격이 실패하면, {s4}들은 쉽게 도망치고 흩어질 수 있을 것이다. 당신은 은거지를 공격할 것인가, 아니면 다른 기회를 기다릴 것인가?"
str_bandit_hideout_failure|"{s4}들은 당신의 공격을 격퇴했다. 그들이 주변의 시골로 흩어져서 사라져버렸기 때문에 당신은 병력을 재편성하고 다시 진군하여 그들을 찾으려 했지만 의심할 필요도 없이 그들은 계속 여행자들을 위협할 것이다"
str_bandit_hideout_success|"그들의 퇴각은 차단되었고, 당신의 굳건한 공격 앞에 하나씩 쓰러져 나갔다. 그들의 은거지와, 그들의 부정하게 얻은 소득물들은 지금 당신의 것이다."
str_bandit_approach_defile|"좁은 골짜기 길을 내려가야 하는"
str_bandit_approach_swamp|"소나무 습지을 지나야 하는"
str_bandit_approach_thickets|"빽빽한 덮불이 연속된 곳을 지나야 하는"
str_bandit_approach_cliffs|"절벽의 측면을 지나 올라야 하는"
str_bandit_approach_cove|"바다 절벽을 관통하여 짤린 개울 바닥을 내려가야 하는"
str_political_explanation_lord_lacks_center|"이 경우, 아무런 땅과 수입이 없는 영주에게 가야하네."
str_political_explanation_lord_took_center|"이 경우, 그 요새를 점령 한 사람에게 가야하네."
str_political_explanation_most_deserving_friend|"이번 경우는 내 근처의 친구와 동료중 영지를 가장 받을 만한 사람으로 결정했네."
str_political_explanation_most_deserving_in_faction|"이번 경우는 왕국내 모든 영주들을 검토했고, 가장 영지를 받을 만한 사람으로 결정했네."
str_political_explanation_self|"명확한 다른 후보자가 없을 경우, 나 자신을 지명하겠네."
str_political_explanation_marshal|"나는 믿을 수 있는 가장 훌륭한 귀족을 선택했으며, 현재 논란의 대상도 되지 못하고 있네."
str_prisoner_at_large|"포로로 잡고 있던 자가 전투에서 크게 패배한 것 같군. 자네의 친구는 곧 다시 일어설거라 생각되네."
str_quick_battle_scene_1|"하이르 섬 공격"
str_quick_battle_scene_2|"해전"
str_quick_battle_scene_3|"루벤의 방어전"
str_quick_battle_scene_4|"아마르후스 성 (발라히르 부족)"
str_quick_battle_scene_5|"아주레 요새 (겔다르)"
str_quick_battle_troop_1|"니사이니아의 대륙에서 라프칼의 일족은 그들 일족의 '왕' 라프칼잔이 전쟁으로 이끄는 무시무시한 무력 집단입니다. 다른 일족의 해군을 습격하는 동안 거대한 바람이 그들의 배를 날려 버렸고, 그들은 뿔뿔히 흩어져 버렸습니다. 그리고 무수한 날 동안 항해를 한 끝에, 많은 이들이 페리스노의 용의 제국 땅에 도착하였으며 일부 다른 사람들은 드라하라 사막에 상륙했습니다. 라프칼잔은 집으로 가는 길을 찾기 위해 필사적이지만, 페리스노의 변방을 파괴하고 대상을 약탈하는 것을 즐기는 것 같습니다. 이 대상들의 물자는 니사이니아처럼 풍부하기 때문입니다."
str_quick_battle_troop_2|"니보르 후드는 톨라니아의 무법자 반군 단체의 지도자입니다. 일반적으로 톨라니안 정부에 의해 '무법자들'이라고 불리지요. 그러나 니보르 후드의 '무법자들'은 톨라니안 정부가 평민들을 괴롭히는 것에 반대한다는 정치적인 메시지를 주장하고 다니고 있습니다. 그래서 많은 농부들이 니보르 후드의 무법자들에 가입하거나 톨라니아 전부를 전복시킬 준비를 하고 있습니다."
str_quick_battle_troop_3|"잔 왕조 광전사들의 대장인 오니시. 그들의 목표는 그들의 황제인 천제 잔이 도착하기 전에 페리스노의 모든 거주지와 길을 파악해 유구한 잔 왕조의 땅을 확보하는 것입니다."
str_quick_battle_troop_4|"포로든은 톨라니아와 엘프의 전쟁이 한참일때 나타났으며 하콘의 대군을 막아내는 영웅으로 위명을 떨쳤습니다. 전쟁이 끝난 후 그는 곧바로 엘린토란 영토내 언덕에 있는 집으로 은퇴했지요. 이제 그는 모험을 꿈꾸며 페리스노 땅을 횡단하며 싸우는 자신만의 부대를 만들었습니다."
str_quick_battle_troop_5|"바이바르스 하콘, 하콘 남북 전쟁에서 하나의 하콘 군단을 지휘한 숙련된 지도자입니다. 수년간 봉사한 후에 그는 하콘 군대를 떠났습니다. 이후 그 수년간의 경험을 통해 페리스노 전역을 통괄하는 용병 회사를 설립했지요. 그렇게 또 수년간 자신의 회사를 이끌고 나서 그는 집으로 돌아가기 위해 떠났습니다. 그러나 그 선택은 그의 집이 톨라니아 군인들에 의해 공격당한 직후였습니다. 그의 아내와 자식들은 모두 살해되었고 그의 집도 잃었습니다. 복수심에 불탄 그는 숨겨져 있던 그의 갑옷을 되찾고 오래된 전우들로 편성한 기병을 모아서 톨라니아에 복수를 시작했습니다."
str_quick_battle_troop_6|"톨란은 하콘에 대한 엘린토란들과 연합 공격을 시도한 작은 그룹의 지도자였습니다. 그는 하콘 창기병에 의해 심각한 부상을 입었고 곧 소규모 농장을 꾸리며 살기 위해서 군대에서 은퇴했지요. 그러나 그는 농장 생활에 빠르게 지쳤으며 홀로 일어서기로 결정했습니다. 그는 빨리 장비를 모으고 페리스노의 용병단과 함께 여행하기 위해 길을 나섰습니다."
str_quick_battle_troop_7|"발라히르 부족의 귀족 컬그라는 발라히르와 믹카비아 사이의 평화에 지쳤습니다. 그는 곧 자신의 성을 포기하고 믹카비아 땅을 파괴하기 위한 군대를 조직했습니다. 그는 행동을 원했으며 그의 아내가 내지로 들어갔을때 믹카비안 부대에 의해 살해당했기 때문에 독기어린 원한도 품고 있습니다."
str_quick_battle_troop_8|"고위 용의 여사자 아마라는 신성한 땅을 어지럽히고 있는 독수리 기사단에 맞서 행동을 취하기로 결심했습니다. 이제 그녀는 페리스노에 있는 모든 독수리의 기사단을 죽일 때까지 그녀의 군대와 함께 복수에 나설 것입니다."
str_quick_battle_troop_9|"드라하라 군대의 젊은 군인 유나이터 장기는 평범한 군인 그 이상이 되고 싶어했습니다. 그는 야영지를 떠나 사막을 출발했고 이후 아무도 그를 몇 주 동안 보지 못했습니다. 얼마 후 그는 페리스노 전체를 정복할 엄청난 힘과 함께 사막에 나타났습니다."
str_quick_battle_troop_10|"유목민들의 여왕이 먼 사막에서 왔습니다. 졸로나는 이제 그녀의 영향력을 페리스노 전토로 확장하고자 합니다."
str_quick_battle_troop_11|"악명높은 볼헤르 침략자인 울프헤오나르는 니사이니아 전역의 전투에서 무수한 승리를 거두었으며 이제 페리스노에서 그의 힘을 시험하고 전리품을 모으기 위해 몸을 일으킵니다."
str_quick_battle_troop_12|"야차모치 장군은 정찰대를 전란이 한참인 페리스노로 이끈다는 자부심이 있는 지휘관입니다. 그는 잔 군대에서 오랫동안 봉사한 장군이며 군사 경험이 풍부합니다. 잔 군대는 그와 정예 분대를 뽑아 페리스노에 정찰을 위해 파견했습니다."
str_quick_battle_troop_13|"일리카의 가장 위대한 팔키의 기사 젤라덱은 일리카가 아니었습니다. 그는 산림 지대에서 자란 고아였습니다. 어느 날 그가 작은 소년이었을때, 젤라덱은 숲에서 상처 입은 팔키 기사를 발견하고 경계하는 그를 설득해 돌볼 수 있도록 허락을 받았습니다. 그가 회복되는 반년 동안 매일같이 팔키의 기사를 머무르게 하면서, 젤라덱과 팔키의 기사는 서로를 잘 알게 되었지요. 팔키 기사가 힘을 회복하고 젤라덱을 일리카 부족에게 데려갔을 때, 젤라덱이 일리카의 가장 강력하고 존경받는 하늘왕의 직계 후손임이 밝혀졌습니다. 당시 그는 10살이었지요. 젤라덱은 일리카의 보살핌을 받으며 훈련을 받았습니다. 그는 곧 만 19세의 나이에 가장 훌륭한 팔키의 기사가 되었습니다. 그 후 얼마 지나지 않아 그는 자신의 고향으로 돌아갔고, 그때 그의 집이었던 버려진 잔해를 발견했습니다. 그는 자신의 양부모님의 행방을 알아보고 분노하며 복수를 위해 용의 제국으로 갔습니다. 거기서 그는 그들을 죽인 못된 드라켄리터를 발견했지요. 이 드라켄리터의 힘은 그와 동등했습니다. 그들은 막상막하로 하루종일 싸웠습니다. 그 결과에 만족하지 않고 그는 일리카로 돌아와 추종자들을 모으고 일족의 모두를 위해 싸우기로 했습니다."
str_quick_battle_troop_14|"아타노스 옥티움은 제 3군단의 자랑스러운 지휘관입니다. 그는 베네터 제국의 옛 황제에 대한 자신의 의무가 페리스노에서 가능한 많은 땅을 약탈하고 정복하는 것이라고 믿습니다. 그는 제 3군단에 봉사하는 대가로 큰 보상도 약속을 받았습니다. 옥티움은 이미 전쟁으로 불이 붙은 대륙에 기름을 부으면서 페리스노의 땅을 파괴하기 시작합니다."
str_quick_battle_troop_15|"토르손은 아슬링 스바파가 서거할때까지, 헤이르에서 가장 위대한 전사 중 한 명이었습니다. 그의 마지막 시험에서 일대 칠십으로 싸움에 임하여, 토르손은 헤이르의 절벽에서 떨어지기 전까지 열 다섯 명의 발라히르 병사들을 무덤으로 보냈습니다."
str_quick_battle_troop_16|"아로우로의 최고 족장 하케홈마하는 많은 도전자를 쓰러뜨리고, 섬의 가장 강력한 전사 중 한 명이 되었습니다. 그는 결투에서 아로우로 포마하카, 아로우로의 족장을 쓰러뜨린 후 최고 족장직을 부여받았습니다."
str_tutorial_training_ground_intro_message|"Walk around the training field and speak with the fighters to practice various aspects of Mount&Blade combat. You can use ASDW keys to move around. To talk to a character, approach him until his name appears on your screen, and then press the F key. You can also use the F key to pick up items, open doors and interact with objects. Press the Tab key to exit the tutorial any time you like."
str_map_basic|"Map"
str_game_type_basic|"게임 유형"
str_battle|"전투"
str_siege_offense|"공성전 (공격)"
str_siege_defense|"공성전 (방어)"
str_character|"캐릭터"
str_biography|"배경"
str_player|"플레이어"
str_enemy|"적"
str_faction|"세력"
str_army_composition|"군대 구성"
str_army_size|"군대 크기"
str_reg0_men|"{reg0}명"
str_start|"시작"
str_i_need_to_raise_some_men_before_attempting_anything_else|"나는 무언가를 시작하기 전에 부대를 모을 필요가 있다."
str_we_are_currently_at_peace|"우리는 현재 평화롭다."
str_the_marshalship|"사령관직"
str_you|"당신"
str_myself|"나 자신"
str_my_friend_s15|"내 친구 {s15}"
str_custom_battle|"자유 전투"
str_comment_intro_liege_affiliated_to_player|"자네는 페리스노의 왕좌를 주장하는 나를 반대 한다면서. 두말 할 나위도 없이, 나는 그 소식이 기쁘지 않네. 그러나, 아직 우리는 대화를 할 수 있을거야."
str_s21_the_s8_declared_war_out_of_personal_enmity|"{s21} {s8}은 개인적 증오로 인해 전쟁을 선포하였습니다."
str_s21_the_s8_declared_war_in_response_to_border_provocations|"{s21} {s8}은 국경 마찰로 인해 전쟁을 선포하였습니다."
str_s21_the_s8_declared_war_to_curb_the_other_realms_power|"{s21} {s8}은 다른 세력의 힘을 억제하기 위해 전쟁을 선포하였습니다."
str_s21_the_s8_declared_war_to_regain_lost_territory|"{s21} {s8}은 잃어버린 영토를 되찾기 위해 전쟁을 선포하였습니다."
str__family_|"^가족: "
str_we_are_conducting_recce|"우리는 먼저 그 지역을 정찰한 다음, 해야할 일을 결정할 것이네."
str_s49_s12_s11_end|"{s49} {s12} ({s11})."
str_center_party_not_active|"은(는) 우리의 목표가 아니오. 왜냐하면 우리는 전장을 지휘할 지휘관이 없기 때문이지."
str_center_is_friendly|"은(는) 우리의 적이 아니다."
str_center_is_already_besieged|"은(는) 이미 포위 공격 중이다."
str_center_is_looted_or_raided_already|"은(는) 이미 황폐화 되었다."
str_center_marshal_does_not_want_to_attack_innocents|"은(는) 평범한 사람들이 거주하네. 그 땅이 황폐화될 경우 누가 가장 큰 고통을 겪을지."
str_center_we_have_already_committed_too_much_time_to_our_present_siege_to_move_elsewhere|"은(는) 이미 포위 공격 중이므로, 다른 곳으로 이동하는 것은 실수겠지."
str_center_we_are_already_here_we_should_at_least_loot_the_village|"은(는) 우리 손안에 있소. 우리는 그들의 부를 차지하고 그 곳을 황폐하게 만들 것이오."
str_center_far_away_we_can_reconnoiter_but_will_delay_decision_until_we_get_close|"NOT USED"
str_center_far_away_our_cautious_marshal_does_not_wish_to_reconnoiter|"정찰하기도 너무 멉니다."
str_center_far_away_even_for_our_aggressive_marshal_to_reconnoiter|"정찰하기도 너무 멉니다."
str_center_far_away_reason|"{s6}은(는) {s5}보다 멀어서 우리가 그것을 확보한 후에 보호하기가 어렵다."
str_center_closer_but_this_is_not_enought|"{s6} is closer than {s5} to our borders, but because of other reasons we are not attacking {s6} for now."
str_center_protected_by_enemy_army_aggressive|"은(는) 우리보다 훨씬 강하다고 생각되는 적군에 의해 보호받고 있을 것이다."
str_center_protected_by_enemy_army_cautious|"은(는) 적의 군대에 의해 보호받고 있으며, 그들은 너무 강하기에 우리가 승리하리란 자신감이 들지 않는다."
str_center_cautious_marshal_believes_center_too_difficult_to_capture|"을(를) 공격하려면 피투성이의 위험한 공성전이 필요해진다."
str_center_even_aggressive_marshal_believes_center_too_difficult_to_capture|"은(는) 너무 견고하게 방어되고 있다."
str_center_value_outweighed_by_difficulty_of_capture|"은(는) 어려운 공격을 감수하기에 충분한 가치가 없다."
str_center_value_justifies_the_difficulty_of_capture|"은(는) 손에 넣을 수 있으며 공격을 감수하기에 충분한 가치가 있다."
str_center_is_indefensible|"은(는) 우리의 다른 요새들로부터 너무 멀어서 방어할 수 없다."
str_we_are_waiting_for_selection_of_marshal|"우리는 사령관의 선택을 기다리고 있다."
str_best_to_attack_the_enemy_lands|"우리 군의 규모를 감안할 때, 우리는 최선의 접근법이 적의 땅을 공격하는 것이라고 믿는다."
str_we_believe_the_fortress_will_be_worth_the_effort_to_take_it|"우리는 그 요새를 점령할만한 가치가 있다고 믿는다."
str_we_will_gather_to_defend_the_beleaguered_fortress|"우리는 포위 당한 요새를 방어하기 위해 모이고 있다."
str_the_enemy_temporarily_has_the_field|"적군은 일시적인 야전에서 우위에 있으며, 우리는 폭풍이 지나갈 때까지 피난처를 찾아야 한다."
str_center_has_not_been_scouted|"은(는) 최근에 우리 군이 정찰하지는 않았지만, 우리는 일단 그곳까지 갈 수 있으므로 먼저 현지에 도착한 다음 생각하면 된다."
str_we_have_assembled_some_vassals|"우리는 몇몇 가신들을 모았지만, 적의 영토로 들어가기 전에 더 기다릴 것이다."
str_we_are_waiting_here_for_vassals|"우리는 가신들이 우리와 합류하기를 기다리고 있다."
str_we_are_travelling_to_s11_for_vassals|"우리는 영주들이 더 쉽게 합류할 수 있도록 {s11}을(를) 여행하고 있다."
str_center_strength_not_scouted|"우리는 최근에 그곳을 정찰하지 않았으므로, 그곳이 얼마나 강하게 방어되고 있는지는 알 수 없다."
str_center_strength_strongly_defended|"우리는 그곳의 방어가 굳건하다고 믿는다."
str_center_strength_moderately_defended|"우리는 그곳이 적절하게 방어되고 있으리라 믿는다."
str_center_strength_weakly_defended|"우리는 그곳의 방어가 약하다고 믿는다."
str_center_distant_from_concentration|"은(는) 우리가 파악한 적군보다 우리와 더 가깝다. 그들이 대응하기 전에 공격해서 파괴할 수 있으리라."
str_plus|"+"
str_minus|"-"
str_tutorial_training_ground_warning_no_weapon|"Hey, don't you think you need some sort of weapon before we try that? There should be some spare weapons over there. Just go pick one up."
str_tutorial_training_ground_warning_shield|"You need to put down your shield first. Scroll down with the mouse scroll-wheel to put down your shield."
str_tutorial_training_ground_warning_melee_with_parry|"You need to wield a melee weapon for this exercise. "
str_tutorial_training_ground_warning_melee|"Scroll up with your mouse wheel to equip a weapon. Scrolling up will equip next weapon while scrollng down will equip next shield."
str_tutorial_training_ground_attack_training|"Number of successful attacks: {reg0} / 5^Number of unsuccessful attacks: {reg1}^{s0}"
str_tutorial_training_ground_attack_training_down|"Make a thrust attack! (Move your mouse down while pressing the left mouse button)"
str_tutorial_training_ground_attack_training_up|"Make an overhead attack! (Move your mouse up while pressing the left mouse button)"
str_tutorial_training_ground_attack_training_left|"Attack from left! (Move your mouse left while pressing the left mouse button)"
str_tutorial_training_ground_attack_training_right|"Attack from right! (Move your mouse right while pressing the left mouse button)"
str_tutorial_training_ground_parry_training|"Number of successful parries: {reg0} / 5"
str_tutorial_training_ground_chamber_training|"Number of successful chambering blocks: {reg0} / 5"
str_tutorial_training_ground_archer_training|"Number of nice shots: {reg0} / 3^{s0}"
str_tutorial_training_ground_ammo_refill|"당신의 탄환들은 튜토리얼을 위해 다시 채워집니다."
str_tutorial_training_ground_archer_text_1|"{s0}에 접근하여 F 키를 눌러 선택합니다."
str_tutorial_training_ground_archer_text_2|"이제 목표를 쏩니다."
str_tutorial_training_ground_archer_text_3|"화면 중앙에 표시되는 UI는 귀하의 정확성을 나타냅니다. UI가 최소 크기로 줄어들 때까지 마우스 왼쪽 버튼을 길게 누릅니다. UI가 가장 작아졌을 때 마우스 왼쪽 버튼을 놓습니다. 당신이 너무 오래 기다릴 경우 UI는 다시 벌어질 것입니다."
str_tutorial_training_ground_archer_text_4|"1인칭 시점으로 전환하려면 R 키를 누릅니다. 1인칭 시점은 원거리 무기를 겨냥하는데 더 쉽습니다."
str_tutorial_training_ground_archer_text_5|"당신은 모든 목표물을 쐈습니다. 이제 훈련 교관에게 다시 이야기하십시오."
str_tutorial_training_ground_horseman_text_1|"{s0} 근처로 이동하여 F를 눌러 집으십시오."
str_tutorial_training_ground_horseman_text_2|"말에 접근해서 F를 눌러 탑승하십시오."
str_tutorial_training_ground_horseman_text_3|"다음 중간 지점을 향해 이동하십시오."
str_tutorial_training_ground_horseman_text_4|"그 위에 화살표가 있는 다음 더미를 치십시오!"
str_tutorial_training_ground_horseman_text_5|"그 위에 화살표가 있는 목표를 활로 쏘십시오!"
str_tutorial_training_ground_horseman_text_6|"당신은 운동을 성공적으로 마쳤습니다. 이제 훈련 교관에게 가서 이야기하십시오."
str_the_great_lords_of_your_kingdom_plan_to_gather_at_your_hall_in_s10_for_a_feast|"당신 왕국의 위대한 영주들이 {s10}에 있는 회관에서 잔치를 계획하고 있습니다."
str_your_previous_court_some_time_ago|"당신은 궁정에서 얼마 전,"
str_awaiting_the_capture_of_a_fortress_which_can_serve_as_your_court|"당신의 궁정 역할을 할 수 있는 요새의 탈환을 기다리고 있습니다."
str_but_if_this_goes_badly|" 그대의 조언을 진지하게 받아들이겠네. 그러나 이번 일이 심각하게 끝날 경우, 그대에게 책임을 물을 것이야."
str_i_realize_that_you_are_on_good_terms_with_s4_but_we_ask_you_to_do_this_for_the_good_of_the_realm|" 그대가 {s4}와(과) 관계가 좋다는 것은 알고 있소. 그러나 이것은 모두 이 나라를 위해서지."
